object_number,edition_id
23797,ED-90C4EE8DE4
23801,ED-6910D089A8
23805,ED-A7B2B88238
23806,ED-69E1E215F2
23808,ED-D1D12C2D4C
23811,ED-5E8A4CD9DF
23828,ED-D2BAEDD731
23829,ED-9C7A7FB688
23830,ED-B723F8E340
23831,ED-2F355005AD
23835,ED-6C1B5BF717
23841,ED-4B1AF1608A
23842,ED-3E3384AED0
23843,ED-1EAD9D9103
23844,ED-581B2DE0B7
23845,ED-838419D597
23847,ED-BDA2AA0E17
23848,ED-831874C061
23850,ED-443278D8D3
23852,ED-16D7889B23
23853,ED-F671DAB3DA
23854,ED-826313AD69
23855,ED-37A7B308D5
23856,ED-EF9CC7DD90
23857,ED-4740D25C0B
23858,ED-1D172E2AD9
23870,ED-C2AABCA93B
23872,ED-BC7872AEC0
23875,ED-D36F88ED3F
23876,ED-B53AA13046
23877,ED-4C37D8F126
23878,ED-74026208E0
23879,ED-68C0CD01AF
23880,ED-5FFF5CD1CB
23881,ED-87EA40FCA7
23882,ED-EAEAAB8D6D
23883,ED-5AC14FA344
23884,ED-0E1A185EA0
23885,ED-B7591C98EB
23886,ED-E33ED4105A
23887,ED-EA55DE31D3
23888,ED-5F57D423C6
23889,ED-26E2F5F0FE
23891,ED-142094C720
23897,ED-97FFE34A6D
23900,ED-156A5B6689
23904,ED-E4BE381EBC
23906,ED-614023D46A
23910,ED-CB35608C2B
23911,ED-B60799974A
23912,ED-13BE1ED136
23913,ED-0BD6940B92
23914,ED-FA39867B3D
23915,ED-5D0923CB4A
23916,ED-1043D9CD80
23923,ED-CCCBD86F06
23924,ED-94DA169BD6
23926,ED-B75A2FBBB7
23930,ED-B95CCE0D3D
23932,ED-61AE2A76DA
23933,ED-CBF5483330
23934,ED-67DF2199A8
23935,ED-B9721B77F2
23936,ED-35AEE12A8C
23937,ED-598E7CA686
23939,ED-62F2043C0E
23940,ED-4D857C49EB
23941,ED-8096701B32
23942,ED-8B81702C3D
23944,ED-F08A0F7B6E
23946,ED-7F6037DF6E
23947,ED-2765047FCD
23948,ED-B9D213C8E0
23959,ED-2DC84DD1F4
23960,ED-A5D1B5AF61
23961,ED-1E2A5E8762
23962,ED-0EE825093D
23963,ED-38B4A073BF
23964,ED-707BFE51C6
23965,ED-5A3C357DE2
23966,ED-A5C507D1C0
23967,ED-B310C2BF40
23968,ED-6C234CE81E
23970,ED-6902A7DA5F
23971,ED-B2340847F7
23973,ED-622FB27AE2
23975,ED-3482B4BA84
23976,ED-62584D5F10
23977,ED-D656718610
23980,ED-E646421130
23983,ED-A0EBDDE7F7
23985,ED-3FE17369E2
23989,ED-AE7277648D
23990,ED-4D1C21A8CB
23993,ED-42CA3493D0
24003,ED-74FDF18607
24004,ED-5AF2554139
24005,ED-016E9D1569
24007,ED-5F5B2A4739
24011,ED-F40E60F8EE
24013,ED-1AEF525064
24014,ED-E5B063FA20
24016,ED-642EF8C7F3
24018,ED-268D6A6F70
24019,ED-F3E6EC0A6C
24021,ED-C6ECA5FC17
24022,ED-770166DDF3
24023,ED-1C4F3584AD
24026,ED-7A7D0CCBDA
24027,ED-62379DD489
24028,ED-8A4BAD4144
24029,ED-8535B02467
24030,ED-59DC8FD7DB
24031,ED-3BD9D9377B
24033,ED-AA5D27A50E
24068,ED-9FE8DE6F57
24070,ED-51453F0C54
24072,ED-A0B5E71D04
24209,ED-202A936D9F
24210,ED-B0CBB5420B
24237,ED-396FE790FB
24239,ED-37C84E1FFB
24242,ED-7B9F06F963
24244,ED-7616F40A1D
24246,ED-DA6A41EB47
24247,ED-B575DBBF51
24250,ED-05E4148CED
24305,ED-24C0E0FF5B
24310,ED-7738E95DFA
24337,ED-5529D2E113
24379,ED-5608201662
26593,ED-E4DB65C433
26594,ED-884492AD41
26613,ED-0E73448133
26689,ED-D042255AD6
26692,ED-57426F983E
26693,ED-B2F469E220
26695,ED-F7F03582FB
26696,ED-47E94920E3
