"edition_id","title_primary","platform"
"CAT-40568","NHLPA Hockey '93","Nintendo Super Nintendo Entertainment System"
"CAT-40592","Aaahh!!! Real Monsters","Nintendo Super Nintendo Entertainment System"
"CAT-40664","NHLPA Hockey '93","Nintendo Super Nintendo Entertainment System"
"CAT-40683","International Superstar Soccer","Nintendo Super Nintendo Entertainment System"
"CAT-41578","Ghoul Patrol","Nintendo Super Nintendo Entertainment System"
"CAT-41579","Ghoul Patrol","Nintendo Super Nintendo Entertainment System"
"CAT-41580","Ghoul Patrol;グール・パトロール","Nintendo Super Famicom"
"CAT-41642","Super Star Wars Return of the Jedi","Nintendo Super Nintendo Entertainment System"
"CAT-41644","Indiana Jones Greatest Adventures","Nintendo Super Nintendo Entertainment System"
"CAT-42312","Killer Instinct","Nintendo Super Nintendo Entertainment System"
"CAT-42316","Disney's Beauty and the Beast","Nintendo Super Nintendo Entertainment System"
"CAT-42321","Pinball Fantasies","Nintendo Super Nintendo Entertainment System"
"CAT-42327","True Lies","Nintendo Super Nintendo Entertainment System"
"CAT-42332","WWF Super Wrestlemania","Nintendo Super Nintendo Entertainment System"
"CAT-42333","Jimmy Connors Pro Tennis Tour","Nintendo Super Nintendo Entertainment System"
"CAT-42349","Micro Machines 2 Turbo Tournament","Nintendo Super Nintendo Entertainment System"
"CAT-42363","Mortal Kombat II","Nintendo Super Nintendo Entertainment System"
"CAT-42379","Pinball Fantasies","Nintendo Super Nintendo Entertainment System"
"CAT-42386","Super Battletank 2","Nintendo Super Nintendo Entertainment System"
"CAT-42389","Eek! The Cat","Nintendo Super Nintendo Entertainment System"
"CAT-42392","Tetris & Dr. Mario","Nintendo Super Nintendo Entertainment System"
"CAT-42653","Tetris Attack","Nintendo Super Nintendo Entertainment System"
"CAT-42657","Stunt Race FX","Nintendo Super Nintendo Entertainment System"
"CAT-42665","Mortal Kombat 3","Nintendo Super Nintendo Entertainment System"
"CAT-42697","Rise of the Robots","Nintendo Super Nintendo Entertainment System"
"CAT-42702","International Superstar Soccer","Nintendo Super Nintendo Entertainment System"
"CAT-42711","WWF Wrestlemania The Arcade Game","Nintendo Super Nintendo Entertainment System"
"CAT-42714","Claymates","Nintendo Super Nintendo Entertainment System"
"CAT-42715","Young Merlin","Nintendo Super Nintendo Entertainment System"
"CAT-42763","Theme Park","Nintendo Super Nintendo Entertainment System"
"CAT-42769","Mortal Kombat 3","Nintendo Super Nintendo Entertainment System"
"CAT-42775","Disney's Beauty and the Beast","Nintendo Super Nintendo Entertainment System"
"CAT-42780","Mortal Kombat II","Nintendo Super Nintendo Entertainment System"
"CAT-42820","Doom","Nintendo Super Nintendo Entertainment System"
"CAT-42821","Claymates","Nintendo Super Nintendo Entertainment System"
"CAT-42845","Super Battletank 2","Nintendo Super Nintendo Entertainment System"
"CAT-42853","SimCity","Nintendo Super Nintendo Entertainment System"
"CAT-42918","Super Castlevania IV","Nintendo Super Nintendo Entertainment System"
"CAT-42919","Super Tennis","Nintendo Super Nintendo Entertainment System"
"CAT-42926","Street Fighter Alpha 2","Nintendo Super Nintendo Entertainment System"
"CAT-42940","Lemmings 2 The Tribes","Nintendo Super Nintendo Entertainment System"
"CAT-42946","The Legend of Zelda A Link to the Past","Nintendo Super Nintendo Entertainment System"
"CAT-42951","Stunt Race FX","Nintendo Super Nintendo Entertainment System"
"CAT-42999","Super Putty","Nintendo Super Nintendo Entertainment System"
"CAT-43001","Mortal Kombat 3","Nintendo Super Nintendo Entertainment System"
"CAT-43005","Street Fighter II","Nintendo Super Nintendo Entertainment System"
"CAT-43013","Donkey Kong Country 2 Diddy's Kong Quest","Nintendo Super Nintendo Entertainment System"
"CAT-43017","Super Mario World 2 Yoshi's Island","Nintendo Super Nintendo Entertainment System"
"CAT-55247","Super Mario World;スーパーマリオワールド","Nintendo Super Famicom"
"CAT-55365","Super Puyo Puyo;す〜ぱ〜ぷよぷよ","Nintendo Super Famicom"
"CAT-55375","Super Puyo Puyo;す〜ぱ〜ぷよぷよ","Nintendo Super Famicom"
"CAT-55753","Mystic Ark;ミスティック・アーク","Nintendo Super Famicom"
"CAT-55765","Dragon's Earth;ドラゴンズ・アース","Nintendo Super Famicom"
"CAT-55774","Zico Soccer;ジーコ サッカー","Nintendo Super Famicom"
"CAT-55869","Populous;ポピュラス","Nintendo Super Famicom"
"CAT-55922","Angelique;アンジェリーク","Nintendo Super Famicom"
"CAT-59603","Fortune Quest Dice wo Korogase;フォーチュンクエスト ダイスをころがせ","Nintendo Super Famicom"
"CAT-59637","Super Bomberman;スーパーボンバーマン","Nintendo Super Famicom"
"CAT-59694","Front Mission;フロントミッション","Nintendo Super Famicom"
"CAT-59715","Populous;ポピュラス","Nintendo Super Famicom"
"CAT-60493","Theme Park;テーマパーク","Nintendo Super Famicom"
"CAT-60534","Populous;ポピュラス","Nintendo Super Famicom"
"CAT-60556","Super Birdie Rush;スーパーバーディラッシュ","Nintendo Super Famicom"
"CAT-60599","Stunt Race FX","Nintendo Super Nintendo Entertainment System"
"CAT-60645","Parodius","Nintendo Super Nintendo Entertainment System"
"CAT-60647","Archer Maclean's Super Dropzone","Nintendo Super Nintendo Entertainment System"
"CAT-60668","Super Tennis","Nintendo Super Nintendo Entertainment System"
"CAT-60670","Stunt Race FX","Nintendo Super Nintendo Entertainment System"
"CAT-60672","Jimmy Connors Pro Tennis Tour","Nintendo Super Nintendo Entertainment System"
"CAT-60675","Kick Off 3 European Challenge","Nintendo Super Nintendo Entertainment System"
"CAT-60676","Shanghai II Dragon's Eye","Nintendo Super Nintendo Entertainment System"
"CAT-60680","NBA Live 97","Nintendo Super Nintendo Entertainment System"
"CAT-60682","Vortex","Nintendo Super Nintendo Entertainment System"
"CAT-60683","Parodius","Nintendo Super Nintendo Entertainment System"
"CAT-60684","Lamborghini American Challenge","Nintendo Super Nintendo Entertainment System"
"CAT-60688","Aero the Acro-Bat","Nintendo Super Nintendo Entertainment System"
"CAT-61149","Izzy's Quest for the Olympic Rings","Nintendo Super Nintendo Entertainment System"
"CAT-61152","Pac-Man 2 The New Adventures","Nintendo Super Nintendo Entertainment System"
"CAT-61154","Super Ghouls 'n Ghosts","Nintendo Super Nintendo Entertainment System"
"CAT-61155","Super Mario World","Nintendo Super Nintendo Entertainment System"
"CAT-68906","Vortex","Nintendo Super Nintendo Entertainment System"
"CAT-69611","Super Mario World","Nintendo Super Nintendo Entertainment System"
"CAT-69626","Super Metroid","Nintendo Super Nintendo Entertainment System"
"CAT-69636","Super Metroid","Nintendo Super Nintendo Entertainment System"
"CAT-69678","Super Mario World","Nintendo Super Nintendo Entertainment System"
"CAT-70954","Jurassic Park","Nintendo Super Nintendo Entertainment System"
"CAT-78070","Terranigma","Nintendo Super Nintendo Entertainment System"
"CAT-79413","Terranigma","Nintendo Super Nintendo Entertainment System"
"CAT-79719","Aero the Acro-Bat","Nintendo Super Nintendo Entertainment System"
