edition_id,title_primary,platform,country,language,release_date,source_object
ED-8759651E23,Bakumatsu Kourinden Oni,SFC,JP,ja,,21677
ED-8759651E23,Bakumatsu Kourinden Oni,SFC,JP,ja,,34391
ED-98B21D0C69,Bakutou Dodgers Bumps Shima wa Oosawagi,SFC,JP,ja,,21351
ED-B0B906BE72,Ball Bullet Gun Survival Game Simulation,SFC,JP,ja,,21430
ED-33B10CA1D9,Barbarossa,SFC,JP,ja,,35584
ED-6F27643AAC,Barkley Shut Up and Jam!,SNES,EU,en,,20337
ED-E93D86DD2E,Barkley Shut Up and Jam!,SNES,UNK,xx,,20337
ED-13BE1ED136,Barkley's Power Dunk,SFC,JP,ja,,23912
ED-A60DD43587,Baseball Stars Professional,NEO-AES,UNK,xx,,16088
ED-F489B40683,Bass Masters Classic,SFC,JP,ja,,21166
ED-04F85C9285,Bastard!! Ankoku no Hakaishin,SFC,JP,ja,,20885
ED-4E43956EE9,Batman Forever,SFC,JP,ja,,35514
ED-E5C901FA4C,Batman Forever,SNES,EU,en,,19761
ED-952A7399F4,Batman Forever,SNES,UNK,xx,,19761
ED-8162F347A1,Batman Returns,SFC,JP,ja,,36971
ED-D2B17F3901,Batman The Caped Crusader,AMIGA,US,xx,,29329#1
ED-379BCC5DC9,Battle Blaze,SFC,JP,ja,,35581
ED-E6274B2AC3,Battle Clash,SNES,EU,en,,19778
ED-3B9C88B1DC,Battle Clash,SNES,UNK,xx,,19778
ED-6F4186A91F,Battle Commander Hachibushuu Shura no Heihou,SFC,JP,ja,,20217
ED-9FE8DE6F57,Battle Cross,SFC,JP,ja,,24068
ED-D6FDC6B9CE,Battle Dodge Ball II,SFC,JP,ja,,19493
ED-360A319C17,Battle Dodgeball,SFC,JP,ja,,20528
ED-F4BDE8C513,Battle Grand Prix,SFC,JP,ja,,10201
ED-F4BDE8C513,Battle Grand Prix,SFC,JP,ja,,35491
ED-1173C90561,Battle Jockey,SFC,JP,ja,,38629
ED-5F0B48ECF8,Battle Master Kyuukyoku no Senshitachi,SFC,GB,ja,,23274
ED-5F0B48ECF8,Battle Master Kyuukyoku no Senshitachi,SFC,JP,ja,,23274
ED-D13E25D7A5,Battle Pinball,SFC,JP,ja,,22861
ED-689CC9DBF1,Battle Racers,SFC,JP,ja,,19502
ED-661405228E,Battle Robot Retsuden,SFC,JP,ja,,38757
ED-661405228E,Battle Robot Retsuden,SFC,JP,ja,,55737
ED-7910EF78D6,Battle Soccer 2,SFC,JP,ja,,19518
ED-46B82761B3,Battle Soccer Field no Hasha,SFC,JP,ja,,21140
ED-79025D97D1,Battle Submarine,SFC,JP,ja,,21791
ED-D1D12C2D4C,Battle Tycoon Flash Hiders SFX,SFC,JP,ja,,23808
ED-57440D879F,Battle Zeque Den,SFC,JP,ja,,21068
ED-51453F0C54,BattleTech,SFC,JP,ja,,9226
ED-51453F0C54,BattleTech,SFC,JP,ja,,24070
ED-6C021ADA57,BattleTech Solid 3D Simulation of Mech Combat,SFC,JP,ja,,59671
ED-AFC4863360,Battletoads Double Dragon,SNES,EU,en,,20434
ED-6BC9D2F31F,Battletoads Double Dragon,SNES,UNK,xx,,37038
ED-6BC9D2F31F,Battletoads Double Dragon,SNES,UNK,xx,,20434
ED-0278BE5743,Battletoads In Battlemaniacs,SFC,JP,ja,,35482
ED-E5B79B88F3,Battletoads in Battlemaniacs,SNES,EU,en,,20342
ED-E5B79B88F3,Battletoads in Battlemaniacs,SNES,EU,en,,26586
ED-4FA26DFA0B,Battletoads in Battlemaniacs,SNES,UNK,xx,,20342
ED-4FA26DFA0B,Battletoads in Battlemaniacs,SNES,UNK,xx,,26586
ED-FA99852AF5,Beach-Head,C64,UNK,xx,,28876#2
ED-5F5B2A4739,Benkei Gaiden Suna no Shou,SFC,JP,ja,,24007
ED-CF30EE3615,Best Shot Pro Golf,SFC,JP,ja,,21669
ED-CF30EE3615,Best Shot Pro Golf,SFC,JP,ja,,55211
ED-CF30EE3615,Best Shot Pro Golf,SFC,JP,ja,,59674
ED-BE5C8687D6,Best of the Best Championship Karate,SNES,EU,en,,19916
ED-BE5C8687D6,Best of the Best Championship Karate,SNES,EU,xx,,40354
ED-BE5C8687D6,Best of the Best Championship Karate,SNES,SE,sv,,27015
ED-B8083D8461,Best of the Best Championship Karate,SNES,UNK,xx,,19916
ED-B8083D8461,Best of the Best Championship Karate,SNES,UNK,xx,,26689
ED-B8083D8461,Best of the Best Championship Karate,SNES,UNK,xx,,27015
ED-B8083D8461,Best of the Best Championship Karate,SNES,UNK,xx,,40354
ED-D042255AD6,Best of the Best Championship Karate,SNES,US,en,,26689
ED-817C758902,Beware the Ultimate Evil of Warlock,SFC,JP,ja,,22315
ED-C55D06E4C2,Big Ichigeki! Pachi Slot Daikouryaku 2 Universal Collection,SFC,JP,ja,,10907
ED-D251550D6E,Big Ichigeki! Pachislot Daikouryaku,SFC,JP,ja,,21898
ED-C141DDB073,Big Ichigeki! Pachislot Daikouryaku 2 Universal Collection,SFC,JP,ja,,21902
