edition_id,title_primary,platform,gb_game_id,igdb_game_id,wd_qid,wd_label
CAT-21717,Ghoul Patrol;グールパトロール,Nintendo Super Famicom,16760,42612,,
CAT-19796,Doom,Nintendo Super Nintendo Entertainment System,7326,7351,,
CAT-23132,Bahamut Lagoon;バハムート ラグーン,Nintendo Super Famicom,15117,15843,,
CAT-79719,Aero the Acro-Bat,Nintendo Super Nintendo Entertainment System,19337,49256,,
CAT-35451,Pilotwings;パイロットウイングス,Nintendo Super Famicom,14727,9619,,
CAT-19876,WWF Super Wrestlemania,Nintendo Super Nintendo Entertainment System,3826,45566,,
CAT-59694,Front Mission;フロントミッション,Nintendo Super Famicom,6052,1498,,
CAT-42918,Super Castlevania IV,Nintendo Super Nintendo Entertainment System,11443,1124,,
CAT-68906,Vortex,Nintendo Super Nintendo Entertainment System,9146,210342,,
CAT-23243,Marmalade Boy;ママレード・ボーイ,Nintendo Super Famicom,28337,202585,,
CAT-19872,Equinox,Nintendo Super Nintendo Entertainment System,13849,329147,,
CAT-08988,Super Pinball Behind The Mask;スーパー・ピンボール ビハインド・ザ・マスク,Nintendo Super Famicom,17398,42455,,
CAT-19846,Disney's Timon & Pumbaa's Jungle Games,Nintendo Super Nintendo Entertainment System,6921,72032,,
CAT-23259,Albert Odyssey;アルバートオデッセイ,Nintendo Super Famicom,33881,15889,,
CAT-20388,Soul Blazer,Nintendo Super Nintendo Entertainment System,13986,11616,,
CAT-01869,Last Action Hero,Nintendo Super Nintendo Entertainment System,5717,262153,,
CAT-09208,Namco Open;ナムコットオープン,Nintendo Super Famicom,28372,84332,,
CAT-19989,First Samurai;ファーストサムライ,Nintendo Super Famicom,1371,71214,,
