object_number,title,title.type,object_name,object_name.type,object_category,broadcast_standard,title.language,place_of_publication
35616,Dragon Slayer Eiyuu Densetsu;ドラゴンスレイヤー英雄伝説,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35617,Exhaust Heat;エキゾースト・ヒート;F1 ROC Race of Champions.,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35622,Super Momotarou Dentetsu II;スーパー桃太郎電鉄II;Super Momotarou Dentetsu 2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35625,Power Athlete;パワーアスリート;Power Moves,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35627,Elnard;エルナード;The 7th Saga,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35628,Feda The Emblem Of Justice;フェーダ エンブレム・オブ・ジャスティス,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35629,America Oudan Ultra Quiz;アメリカ横断ウルトラクイズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35631,Super Sangokushi II;スーパー三国志II;Super Sangokushi 2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
35632,Cosmo Gang The Video;コズモギャング ザ ビデオ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35634,Pikiinya!;ピキーニャ！,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35637,Super Daikoukai Jidai;スーパー大航海時代,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35645,Nobunaga Kou Ki;信長公記,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35647,Super Mario Kart;スーパーマリオカート,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35648,Lemmings;レミングス,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
35649,Pipe Dream;パイプドリーム;Pipe Mania,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36825,"Yapon Super Nintendo Entertainment System SNES Rental Unit, Cased;Super Nintendo Entertainment System SNES",System Bundle Description;Console Description,Nintendo Super Nintendo Entertainment System,"",System Bundle,PAL,Swedish;,Sweden
36839,Volleyball Twin;ツイン バレーボールTwin;Dig & Spike Volleyball,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36840,TwinBee Rainbow Bell Adventure;ツインビー レインボーベルアドベンチャー;Pop'n TwinBee Rainbow Bell Adventures,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36841,Rushing Beat;ラッシング・ビート;Rival Turf!,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36842,Area 88;エリア88;U.N. Squadron.,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36843,ActRaiser;アクトレイザー,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36844,Ninja Ryukenden Tomoe;忍者龍剣伝 巴;Ninja Gaiden Trilogy,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36845,Uchuu no Kishi Tekkaman Blade;宇宙の騎士 テッカマンブレード,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36863,New 3D Golf Simulation Waialae no Kiseki;New 3D Golf Simulation ワイアラエの奇蹟;True Golf Classics Waialae Country Club,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36871,Flashback;フラッシュバック;Flashback The Quest for Identity,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36900,Aliens vs. Predator;エイリアンVS.プレデター;Alien vs Predator,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36912,Gon;ゴン,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36917,Joe & Mac Tatakae Genshijin;ジョー＆マック 戦え原始人;Joe & Mac Caveman Ninja,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36928,Teenage Mutant Ninja Turtles Turtles In Time;ティーンエージ ミュータント ニンジャ タートルズ／タートルズ イン タイム;Teenage Mutant Ninja Turtles IV Turtles in Time;Teenage Mutant Hero Turtles IV Turtles in Time,Game Title;Game Title Alternative;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
36931,Sonic Blast Man;ソニックブラストマン;Sonic Blastman,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36937,Nosferatu;ノスフェラトゥ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36939,Super Turrican;スーパータリカン,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36941,Hagane;鋼;Hagane The Final Conflict,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36942,HaganeChoujikuu Yousai Macross Scrambled Valkyrie;超時空要塞マクロス スクランブルバルキリー,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36944,Magic Sword;マジックソード,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36945,Super Genjin 2;スーパー超原人2;Super Bonk 2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36946,Rockman 7 Shukumei no Taiketsu!;ロックマン7 宿命の対決！;Mega Man 7,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36947,The Ninja Warriors Again;ザ・ニンジャウォーリアーズ アゲイン;The Ninja Warriors,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36948,Super Aleste;スーパーアレスタ;Space Megaforce,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36949,Hook;フック,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36952,Kiki Kaikai Tsukiyo Soushi;奇々怪界 月夜草子;Pocky & Rocky 2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36954,Rushing Beat Ran Fukusei Toshi;ラッシング・ビート乱　複製都市;Brawl Brothers;ラッシング・ビートRun　複製都市,Game Title;Game Title Alternative;Game Title Alternative;Misspelled,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
36955,Magical Taruruuto-kun Magic Adventure;まじかる☆タルるートくん Magic Adventure,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36956,Smash T.V.;スマッシュT.V.,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36959,Captain Commando;キャプテンコマンドー,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36961,Final Fight;ファイナルファイト,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36962,Super Mario Collection;スーパーマリオコレクション;Super Mario All-Stars,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36963,Super Metroid;スーパーメトロイド,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36966,Akumajou Dracula;悪魔城ドラキュラ;Super Castlevania IV,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
36968,Phalanx The Enforce Fighter A-144;ファランクス The Enforce Fighter A-144,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
36971,Batman Returns;バットマン リターンズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
37016,DoReMi Fantasy Milon's DokiDoki Adventure;ドレミファンタジー ミロンのドキドキ大冒険;Do-Re-Mi Fantasy Milon's DokiDoki Adventure,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
37017,The King of Dragons;ザ・キングオブドラゴンズ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
37018,Axelay;アクスレイ,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
37020,ActRaiser 2 Chinmoku heno Seisen;アクトレイザー2 〜沈黙への聖戦〜;ActRaiser 2,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
37021,Alien 3;エイリアン3,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
37022,Sparkster;スパークスター,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
37025,Indiana Jones' Greatest Adventures;インディ・ジョーンズ Greatest Adventures,Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
37026,Rockman X3;ロックマンエックス3;Mega Man X3,Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
